Naziv,Adresa,Mjesto,ePosta,Telefon,Zupanija,PostanskiBroj
"Dječji vrtić ""Pipi Duga Čarapa""",Ulica Kralja Zvonimira 75,Solin,pipi-solin@net.hr,021/245-036,Splitsko-dalmatinska županija ,21210
Dječji vrtić Dobri,Ćiril Metodova ulica 14,Split,vrticdobri@gmail.com,021/487-168,Splitsko-dalmatinska županija ,21000
"Dječji vrtić ""Sv. Pavla Apostola""",Pujanke 14,Split,sv.pavlaapostola@gmail.com,021/376-480,Splitsko-dalmatinska županija ,21000
"DV ""Mali Isus""",Don Klementa Tadina 17,Kaštel Kambelovac,dvmisus@gmail.com,021/262 152,Splitsko-dalmatinska županija ,21214
"Dječji vrtić ""Vrtuljak""",Doverska 22,Split,djecjivrtic.vrtuljak@yahoo.com,021/467-920,Splitsko-dalmatinska županija ,21000
"Dječji vrtić ""Smokvica""",Put Duilova 8b,Split,dv.smokvica0@gmail.com,"021 316 922, 098/958-92-43",Splitsko-dalmatinska županija ,21000
"Dječji vrtić ""Trilj""",Sv. Mihovila 54A,Trilj,dvtrilj1@net.hr,021832 333,Splitsko-dalmatinska županija ,21240
"Dječji vrtić ""Pčelica Maja""",Pujanke 32,Split,dvpcelicamaja@gmail.com,021/377-688,Splitsko-dalmatinska županija ,21000
"Dječji vrtić ""Zvončić""",Trg dr. Franje Tuđmana 6,Vrlika,vrtic.zvoncic@gmail.com,021/827-022,Splitsko-dalmatinska županija ,21236
"Waldorfski dječji vrtić ""Iskrica""",Put Trstenika 1,Split,waldorfskivrticiskrica@gmail.com,021/465-193,Splitsko-dalmatinska županija ,21000
"Dječji vrtić ""Mali Cvijetak""",Ulica Gradišćanskih Hrvata 20,Split,malicvijetaksplit@gmail.com,021/276398; 021/276398,Splitsko-dalmatinska županija ,21000
Program predškolskog odgoja pri OŠ Zmijavci,Dr. Franje Tuđmana 1,Zmijavci,ured@os-zmijavci.skole.hr,021/840 163,Splitsko-dalmatinska županija ,21260
"Dječji vrtić ""Ana""",Kraj 42a,Kraj,dvana-dicmo@net.hr,021/837-268,Splitsko-dalmatinska županija ,21232
Dječji vrtić - Scuola dell' infanzia Rin Tin Tin Pula-Pola,Glavinićev uspon 4a,Pula,serena.sirotic@rintintin.hr,052 522 702,Istarska županija ,52100
"Dječji vrtić ""Sretno dijete""",Hrvace  309A,Hrvace,sretno.dijete.hrvace@st.t-com.hr,021 829 035,Splitsko-dalmatinska županija ,21233
"Dječji vrtić ""Tičići""",Emonijska 6,Novigrad,dvticici@gmail.com,052/757-117,Istarska županija ,52466
"Dječji vrtić ""Grdelin""",II. istarske brigade 19,Buzet,info@grdelin-buzet.hr,052/622-614,Istarska županija ,52420
"Dječji vrtić ""Pjerina Verbanac""",Prilaz Kršin 2,Labin,ravnateljica@dvlabin.hr,052/856-550,Istarska županija ,52220
"Dječji vrtić ""Olga Ban""",Prolaz Otokara Keršovanija 1,Pazin,ravnateljica@vrtic-olgaban-pazin.hr; tajnistvo@vrtic-olgaban-pazin.hr ,052/622-519,Istarska županija ,52000
"DJEČJI VRTIĆ ""RADOST"" POREČ-PARENZO",Ulica Rade Končara 7,Poreč - Parenzo,tajnistvo@radost-porec.hr,052/431-062,Istarska županija ,52440
"Dječji vrtić ""Paperino""",Matka Laginje 6,Poreč - Parenzo,direzione.paperino@gmail.com; segreteria.paperino@gmail.com,052/434-760   052/422-441,Istarska županija ,52440
Dječji vrtić Tići Vrsar,Aldo Negri 46,Vrsar,ravnatelj@vrtic-tici-vrsar.hr,052 441 506,Istarska županija ,52450
"Dječji vrtić ""Bubamara-Coccinella""",Brajdice 8,Ližnjan,bubamara.liznjan@gmail.com,052/574-669,Istarska županija ,52204
"Dječji vrtić ""Ciciban""",Vladimira Vidrića 2,Velika Gorica,ravnateljica@dv-ciciban-vg.hr,3877-324,Zagrebačka županija ,10410
"Dječji vrtić ""Velika Gorica""",Josipa Pucekovića 2,Velika Gorica,ravnateljica@vrtic-vg.hr,01/6260-661,Zagrebačka županija ,10410
"Dječji vrtić ""Dubrava""",Radnička 8,Dubrava,vrtic.dubrava@gmail.com,2725-053; 098/981-8737,Zagrebačka županija ,10342
"Dječji vrtić ""Proljeće""",Bocakova 7,Sveti Ivan Zelina,tajnistvo.dvproljece@zelina.hr,2060-713,Zagrebačka županija ,10380
"Dječji vrtić ""Vrbovec""",7. svibnja 12a,Vrbovec,ravnatelj.dvvrbovec@gmail.com,2791-349,Zagrebačka županija ,10340
"Dječji vrtić ""Maslačak""",Hrvatske mladeži 4,Zaprešić,ravnatelj@maslacak-zapresic.hr,3310-434,Zagrebačka županija ,10290
"Dječji vrtić ""Vrtuljak""",Mokrička 59,Zaprešić,dv.vrtuljak.ravnatelj@gmail.com,"01/3310-455, 01/ 4001-090",Zagrebačka županija ,10290
"Dječji vrtić ""Radost""",Braće Radića 10,Jastrebarsko,djecji.vrtic.radost1@zg.t-com.hr,6281-241,Zagrebačka županija ,10450
Dječji vrtić Grigor Vitez,Ulica Ivana Perkovca 88/1,Samobor,dvgv.tajnistvo@gmail.com,013361 779; 01 3360 530,Zagrebačka županija ,10430
"Dječji vrtić ""Pikulica""",Modruška 19,Zagreb,info@pikulica.com,091 572 08 12,Grad Zagreb,10000
"Dječji  vrtić  ""Slavuj""",Obrtnička 13,Strmec,d.v.slavuj@zg.t-com.hr,3384-722,Zagrebačka županija ,10434
"Dječji vrtić ""Dugo Selo""",Perivoj Ivane Brlić Mažuranić 2,Dugo Selo,tajnistvo@dvds.hr,01 2753 418,Zagrebačka županija ,10370
"Dječji vrtić ""Buba Biba""",Kalnička 2,Dugo Selo,djecji.vrtic.buba.biba1@zg.t-com.hr ; dvbb.djecjivrtic-bubabiba.hr,01/2756-258,Zagrebačka županija ,10370
"Dječji vrtić ""Ivanić Grad""",Park hrvatskih branitelja 3,Ivanić-Grad,ravnatelj.vrtic.ivanic@gmail.com,012889-299,Zagrebačka županija ,10310
"Dječji vrtić ""Križić-kružić""",Josipa Čopora 15,Križ,info@dv-krizic-kruzic.hr,01/2824528,Zagrebačka županija ,10314
"Dječji vrtić ""Proljeće""",Naftaplinska 23/a,Kloštar Ivanić,djecji.vrtic1@zg.t-com.hr,01 / 2892-545,Zagrebačka županija ,10310
"Dječji vrtić ""Rožica""",AUGUSTA ŠENOE 3,Veliko Trgovišće,djecji.vrtic.rozica@kr.t-com.hr,049/236-844,Krapinsko-zagorska županija ,49214
"Dječji vrtić ""Izvor""",Gustava Krkleca 2,Samobor,dv.izvor.samobor@gmail.com,01 3362 033,Zagrebačka županija ,10430
"Dječji vrtić ""Didi""", Karlovačka 26,Klinča Sela,tajnistvo.didi@gmail.com,2750-912,Zagrebačka županija ,10450
"Dječji vrtić ""Osmijeh""",Hrastina 36,Samobor,djecji.vrtic.osmijeh@zg.t-com.hr,01/3380-195,Zagrebačka županija ,10430
"DV Waldorfski ""NEVEN""",Eugena Kvaternika 15,Dubrava Samoborska,waldorfski.djecji.vrtic.neven@zg.t-com.hr,01 3326 989,Zagrebačka županija ,10430
"Dječji vrtić ""Smokvica""",Matije Gupca 92,Pojatno,info@vrtic-smokvica.hr,01-3393-471,Zagrebačka županija ,10290
"Dječji vrtić ""Točkica""",Josipa Malekovića 22,Zaprešić,klara.cicak@gmail.com,091/5349-473,Zagrebačka županija ,10290
"Dječji vrtić ""Bambi""",Bana Josipa Jelačića 1,Trstenik,djecji.vrtic.bambi@zg.t-com.hr,"01/3315460, 098/828-594",Zagrebačka županija ,10291
"Dječji vrtić ""Gustav Krklec""",Magistratska 11/1,Krapina,info@vrtic-gustav-krklec-krapina.hr ,049/371-138,Krapinsko-zagorska županija ,49000
"Dječji vrtić ""Balončica""",Hum na Sutli 156,Hum na Sutli,ravnateljica@djecji-vrtic-baloncica.hr,049 341-143,Krapinsko-zagorska županija ,49231
"Dječji vrtić ""Naša radost""",Stjepana Škreblina 1,Pregrada,dv.nasaradost@pregrada.hr,049/377-489,Krapinsko-zagorska županija ,49218
Dječji vrtić i jaslice Zlatarsko zlato,Ulica kralja Petra Krešimira 6,Zlatar,vrtic.zlatar@gmail.com,049/466-120,Krapinsko-zagorska županija ,49250
"Dječji vrtić ""Maslačak""",Toplička ulica 34,Krapinske Toplice,djecji.vrtic.maslacak@kr.t-com.hr,049/232-838,Krapinsko-zagorska županija ,49217
"Dječji vrtić ""Zlatni dani""",Lovrečanska 16,Zlatar-Bistrica,info@zlatni-dani.hr,049 461 031,Krapinsko-zagorska županija ,49247
"Dječji vrtić ""Pušlek""",Stubička cesta 17C ,Marija Bistrica,djecji.vrtic.puslek@kr.t-com.hr,049/468-297,Krapinsko-zagorska županija ,49246
Dječji vrtić Zipkica,Stjepana Radića 15,Zabok,dv-zipkica@kr.t-com.hr,049/221-599,Krapinsko-zagorska županija ,49210
"Dječji vrtić ""Kesten""",Ružmarinska ulica 18,Klanjec,dvkesten@gmail.com,"049/435-060, 099/841-2999",Krapinsko-zagorska županija ,49290
"Dječji vrtić ""Konjščina""",Pionirska 2,Konjščina,dv-konjscina@post.ht.hr,"049 465-100, 091 763 40 67",Krapinsko-zagorska županija ,49282
"Dječji vrtić ""Cvrkutić""",Ulica Antuna Mihanovića 6,Oroslavje,ravnateljcvrkutic@gmail.com,049/285-640,Krapinsko-zagorska županija ,49243
"Dječji vrtić ""Bubamara""",Toplička 27,Donja Stubica,djecji.vrtic.bubamara@kr.t-com.hr,049/287-724,Krapinsko-zagorska županija ,49240
"Dječji vrtić ""Bedekovčina""",Ljudevita Gaja 13,Bedekovčina,djecji.vrtic.bedekovcina@kr.t-com.hr,049/214-875,Krapinsko-zagorska županija ,49221
"Dječji vrtić ""Tratinčica""",Ratkajeva 6,Desinić,ravnateljica@djecji-vrtic-tratincica.hr,049/320-055,Krapinsko-zagorska županija ,49216
"Dječji vrtić ""Mali Kaj""",I. G. Kovačića 13,Krapina,domagoj.mali.kaj@gmail.com,01/3356226 ; 095/1211012,Krapinsko-zagorska županija ,49000
"Dječji vrtić ""Jaglac""",Antuna Mihanovića 8,Kumrovec,jaglac.vrtic@gmail.com,"049/553-196, 099/7100938",Krapinsko-zagorska županija ,49295
Program predškole pri PO Hrašćina OŠ Vladimira Nazora,Budinščina 18c,Budinšćina,ured@os-vnazor-budinscina.skole.hr,049/459-113,Krapinsko-zagorska županija ,49284
"Dječji vrtić ""Kockica""",Ulica admirala Jakova Šubića de Cesana 25J,Zadar,dv.kockica@gmail.com,023/647 277,Zadarska županija ,23000
"Dječji vrtić ""Sunčica""",Tkalci 65,Krapina,djecji.vrtic.suncica@gmail.com,049/354-235,Krapinsko-zagorska županija ,49000
Program predškole pri OŠ Pavla Štoosa,Kraljevec na Sutli 125,Kraljevec na Sutli,skola@os-pstoosa-kraljevecnasutli.skole.hr,049/554-086,Krapinsko-zagorska županija ,49294
"Dječji vrtić ""Sisak Stari""",Lonjska ulica 19,Sisak,dvsisakstari@optinet.hr,044/400-315,Sisačko-moslavačka županija ,44000
"Dječji vrtić ""Sisak Novi""",Ulica hrvatskog narodnog preporoda 33,Sisak,djecjivrtic.sisaknovi@sk.t-com.hr,044/537-839,Sisačko-moslavačka županija ,44000
"Dječji vrtić ""Kutina""",Augusta Cesarca 4a,Kutina,vrtic-kutina@sk.t-com.hr,"044/631-333, 631-300",Sisačko-moslavačka županija ,44320
"Dječji vrtić ""Radost""",Ivane Brlić Mažuranić 1,Novska,vrtic.radost@optinet.hr,044/600-320,Sisačko-moslavačka županija ,44330
Dječji vrtić Petrinjčica,Milana Dujnića 25,Petrinja,vrtic@vrtic-petrinjcica.hr,044/815-134,Sisačko-moslavačka županija ,44250
Dječji vrtić Bubamara Glina,Frankopanska 33,Glina,vrtic.glina.adm@gmail.com,044/880799,Sisačko-moslavačka županija ,44400
Dječji vrtić Krijesnica Hrvatska Kostajnica,Vladimira Nazora 40,Hrvatska Kostajnica,vrtic-krijesnica@sk.htnet.hr,044/851-304,Sisačko-moslavačka županija ,44430
"Dječji vrtić ""Topusko""",Školska 10,Topusko,vrttop@optinet.hr,044/885-218,Sisačko-moslavačka županija ,44415
"""Dječji vrtić Popovača""",Ulica Alojzija Stepinca 3,Popovača,"tajnica@vrtic-popovaca.hr, ravnateljica@vrtic-popovaca.hr",044/679-034 ,Sisačko-moslavačka županija ,44317
Dječji vrtić Iskrica,Ante Starčevića 1,Lipovljani,vrtic.lipovljani@gmail.com,044/676-003,Sisačko-moslavačka županija ,44322
"Dječji vrtić ""Ludina""",Crkvena 2,Velika Ludina,dvovl.vrtic@gmail.com,044/658-493,Sisačko-moslavačka županija ,44317
"Dječji vrtić ""Bambi"" Sunja",Matije Gupca 24,Sunja,vrtic.bambi@sunja.hr,044/833-163,Sisačko-moslavačka županija ,44210
"Dječji vrtić ""Sunce""",Ulica Kralja Tomislava 23a,Dvor,suncedjecjivrtic@gmail.com,044/871-394,Sisačko-moslavačka županija ,44440
"Dječji vrtić ""Lekenik""",Hermanna Gmeinera 1,Lekenik,djecji.vrtic.lekenik@sk.t-com.hr,044 772 150,Sisačko-moslavačka županija ,44272
"Kraći program predškolskog odgoja pri glazbenoj školi ""Fran Lhotka""",Trg Ljudevita Posavskog 2,Sisak,gsfranalhotke@gmail.com,044/548528,Sisačko-moslavačka županija ,44000
Dječji vrtić Karlovac (Gaza),Ulica Imbre Tkalca 2,Karlovac,tajnistvo@vrtic-karlovac.hr,047/631-466,Karlovačka županija ,47000
"Dječji vrtić ""Bistrac""",Sveti Petar 41 d,Ogulin,info@bistrac.hr    ,047/522-001,Karlovačka županija ,47300
"Dječji vrtić ""Duga Resa""",Ul.dr. Ivana Banjavčića 2,Duga Resa,vrticdresa@gmail.com,047/704-124,Karlovačka županija ,47250
"Dječji vrtić ""Slunj""",Kralja Zvonimira 9,Slunj,ravrtic.slunj@gmail.com,"047/777-576, 047 410-668",Karlovačka županija ,47240
Dječji vrtić Zvončić Ozalj,Trg Braće Radića 4,Ozalj,dvzvoncic@gmail.com,047/731-251,Karlovačka županija ,47280
"Dječji vrtić ""Vojnić""",Trg Ante Starčevića 4,Vojnić,djecji.vrtic.vojnic@ka.t-com.hr,047883074,Karlovačka županija ,47220
"Dječji vrtić ""Josipdol""",Karlovačka 17 b,Josipdol,kontakt@dv-josipdol.hr,047/581-275,Karlovačka županija ,47303
"Dječji vrtić ""Tintilinić""",Bogoslava Šuleka 13,Karlovac,info@djecjivrtic-tintilinic.hr,047/413-166,Karlovačka županija ,47000
Program predškolskog odgoja pri OŠ Cetingrad,Ivana Frankopana Cet,Cetingrad,ured@os-cetingrad.skole.hr,047/781-005,Karlovačka županija ,47222
"Dječji vrtić ""Dugin svijet""",Vodnjanska cesta 17,Pula,dv.duginsvijet@gmail.com,052/ 556 878 i mob. 099/677541,Istarska županija ,52100
Program predškolskog odgoja pri OŠ Plaški ,Trg Katarine Zrinske 1a,Plaški,ured@os-plaski.skole.hr,047/573-178,Karlovačka županija ,47304
"Dječji vrtić ""Varaždin""",Dravska 1,Varaždin,info@djecjivrticvz.hr,042/203-253,Varaždinska županija ,42000
